Feature,Coefficient,Absolute_Coefficient
Year,12.498650984495486,12.498650984495486
AI_Tool_Proficiency,5.51918877372192,5.51918877372192
Outcome_Label_Positive Growth,-4.453124078673263,4.453124078673263
Outcome_Label_Stagnant / Moderate,-4.421372649074552,4.421372649074552
Weekly_AI_Usage_Hours,2.842862347614852,2.842862347614852
Scenario_Pessimistic,-1.441922828860469,1.441922828860469
Cognitive_Load_Index,0.9161272485372431,0.9161272485372431
Scenario_Optimistic,-0.7065134127024839,0.7065134127024839
Scenario_Neutral,-0.6732151930908101,0.6732151930908101
Demographic_Group_Young Adult (26-35),0.04952619328578267,0.04952619328578267
Social_Interaction_Quality,-0.04748313789333425,0.04748313789333425
Human_Decision_Making_Involvement,-0.04295293465577055,0.04295293465577055
Demographic_Group_Youth (18-25),0.040230170381721886,0.040230170381721886
Profession_Healthcare,-0.037503687741365116,0.037503687741365116
Emotional_Intelligence,0.03521687987773947,0.03521687987773947
Human_Creativity_Score,0.03215180808683482,0.03215180808683482
Profession_Education,-0.02779031287545486,0.02779031287545486
Profession_Law,-0.027434551438631563,0.027434551438631563
AI_Tool_Category_Full AGI Integration,0.026669085759542133,0.026669085759542133
Profession_Social Sciences,-0.025963599733829994,0.025963599733829994
Innovation_Rate,0.02400758883357801,0.02400758883357801
Profession_Science & Research,-0.02396651253304194,0.02396651253304194
Demographic_Group_Senior (51-65),0.02345948409854473,0.02345948409854473
Education_Level,-0.023313144362333893,0.023313144362333893
Era,0.022819997176437568,0.022819997176437568
Learning_Speed,-0.02045201825234333,0.02045201825234333
Profession_Skilled Trades,0.019885359365247546,0.019885359365247546
Demographic_Group_Elder (65+),0.019704394831708827,0.019704394831708827
Region_East Asia,-0.01961620521637819,0.01961620521637819
Region_Europe,-0.019248464641401952,0.019248464641401952
Region_Oceania,0.016921202991538195,0.016921202991538195
Attention_Span_Minutes,-0.016824128474760558,0.016824128474760558
Profession_Creative Arts,0.014405278671758337,0.014405278671758337
Region_South Asia,-0.013821941245852176,0.013821941245852176
Critical_Thinking_Ability,-0.013445018611898174,0.013445018611898174
Profession_Entrepreneurship,0.011072716776762415,0.011072716776762415
Region_Southeast Asia,-0.010869032763057743,0.010869032763057743
AI_Tool_Category_Creative AI,0.00943291778105955,0.00943291778105955
Profession_Engineering,-0.008684349482219952,0.008684349482219952
Region_Latin America,-0.008247874430150626,0.008247874430150626
Problem_Solving_Skills,0.007796720863922468,0.007796720863922468
Profession_Technology,-0.006225446686247624,0.006225446686247624
Adaptability_Score,-0.005651836234033647,0.005651836234033647
AI_Tool_Category_Multi-modal AI,-0.005001637669518971,0.005001637669518971
AI_Tool_Category_Basic Assistants,0.0047073761590959995,0.0047073761590959995
Region_Middle East,-0.00431953080915104,0.00431953080915104
Profession_Unemployed/Retired,0.00422941339712371,0.00422941339712371
AI_Tool_Category_Analytical AI,0.0033807053077876126,0.0033807053077876126
AI_Tool_Category_Unknown,0.002050955845442237,0.002050955845442237
Profession_Finance,-0.0018284150434381141,0.0018284150434381141
Mental_Wellbeing_Score,0.001140490283563944,0.001140490283563944
Region_North America,0.0006725602767853334,0.0006725602767853334
