Feature,Coefficient,Absolute_Coefficient
Year,12.494717405916603,12.494717405916603
AI_Tool_Proficiency,5.52004973043505,5.52004973043505
Outcome_Label_Positive Growth,-3.02797135451534,3.02797135451534
Outcome_Label_Stagnant / Moderate,-3.009027326063195,3.009027326063195
Weekly_AI_Usage_Hours,2.8434575335776344,2.8434575335776344
Cognitive_Load_Index,0.9163851192030464,0.9163851192030464
Scenario_Optimistic,-0.7068881336715259,0.7068881336715259
Scenario_Neutral,-0.6736856400389728,0.6736856400389728
Scenario_Pessimistic,-0.11767783257523771,0.11767783257523771
Demographic_Group_Young Adult (26-35),0.04952355445852318,0.04952355445852318
Social_Interaction_Quality,-0.047440511559383315,0.047440511559383315
Human_Decision_Making_Involvement,-0.043479014058918186,0.043479014058918186
Demographic_Group_Youth (18-25),0.04023011649493959,0.04023011649493959
Profession_Healthcare,-0.03749567205555421,0.03749567205555421
Emotional_Intelligence,0.03491005256989586,0.03491005256989586
Human_Creativity_Score,0.0320491784523768,0.0320491784523768
Profession_Education,-0.02777292395907163,0.02777292395907163
Profession_Law,-0.02743660463673934,0.02743660463673934
AI_Tool_Category_Full AGI Integration,0.02686900420195962,0.02686900420195962
Profession_Social Sciences,-0.02595264946743426,0.02595264946743426
Innovation_Rate,0.024423878415012902,0.024423878415012902
Profession_Science & Research,-0.023957227861758402,0.023957227861758402
Demographic_Group_Senior (51-65),0.023600857965028747,0.023600857965028747
Education_Level,-0.02338494644581862,0.02338494644581862
Era,0.02296469592582435,0.02296469592582435
Learning_Speed,-0.020157382281864398,0.020157382281864398
Profession_Skilled Trades,0.019889040143430913,0.019889040143430913
Demographic_Group_Elder (65+),0.019697770672356014,0.019697770672356014
Region_East Asia,-0.01961402513001654,0.01961402513001654
Region_Europe,-0.019241968192295972,0.019241968192295972
Region_Oceania,0.016933304121654832,0.016933304121654832
Attention_Span_Minutes,-0.01668918834571888,0.01668918834571888
Profession_Creative Arts,0.014416886325253737,0.014416886325253737
Critical_Thinking_Ability,-0.013870308870178054,0.013870308870178054
Region_South Asia,-0.013612428720464198,0.013612428720464198
Profession_Entrepreneurship,0.011085583647260805,0.011085583647260805
Region_Southeast Asia,-0.010854387355516925,0.010854387355516925
Profession_Engineering,-0.008680130059480335,0.008680130059480335
AI_Tool_Category_Creative AI,0.00854625584391054,0.00854625584391054
Region_Latin America,-0.008236283773115449,0.008236283773115449
Problem_Solving_Skills,0.007461911096671228,0.007461911096671228
Profession_Technology,-0.005986322948660997,0.005986322948660997
Adaptability_Score,-0.0056553809128647185,0.0056553809128647185
AI_Tool_Category_Multi-modal AI,-0.005167963627705717,0.005167963627705717
Region_Middle East,-0.004314258337072042,0.004314258337072042
Profession_Unemployed/Retired,0.004230976149578001,0.004230976149578001
AI_Tool_Category_Basic Assistants,0.0035325559761192043,0.0035325559761192043
AI_Tool_Category_Analytical AI,0.0027615758534797626,0.0027615758534797626
Profession_Finance,-0.0018186748824676456,0.0018186748824676456
Mental_Wellbeing_Score,0.001411264432830715,0.001411264432830715
AI_Tool_Category_Unknown,0.0006783919308840628,0.0006783919308840628
Region_North America,0.0006758822546925627,0.0006758822546925627
